EQUIPO,Los Leones FC
NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Santiago Pérez",1,8872341,DELANTERO,1998-03-15,3101234567,DERECHA,174,O+,Sura,"María Pérez - 3101112222",Ninguna
"Juan David López",2,8872342,DEFENSOR,1999-07-22,3102223333,IZQUIERDA,180,A+,Sanitas,"Carlos López - 3102224444",Ninguna
"Andrés Felipe Gómez",3,8872343,ARQUERO,2000-11-10,3103334444,DERECHA,185,O-,EPS Sura,"Andrés Gómez - 3103335555",Ninguna
"Mateo Sebastián Ruiz",4,8872344,MEDIOCAMPISTA,1999-05-05,3104445555,DERECHA,172,B+,Nueva EPS,"Luis Ruiz - 3104446666",Penicilina
"Carlos Eduardo Hernández",5,8872345,DELANTERO,1997-09-18,3105556666,IZQUIERDA,178,AB+,Sanitas,"Mario Hernández - 3105557777",Ninguna

EQUIPO,Rayo de Luna
NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Fernando Castro",1,8872401,DEFENSOR,1998-05-09,3201112222,DERECHA,179,A+,Sura,"Carmen Castro - 3201113333",Ninguna
"José Antonio Méndez",2,8872402,DELANTERO,2002-01-17,3202223333,IZQUIERDA,172,B+,Compensar,"Pablo Méndez - 3202224444",Ninguna
"Ricardo Salazar",3,8872403,ARQUERO,1999-09-23,3203334444,DERECHA,187,O+,Sura,"Andrés Salazar - 3203335555",Ninguna
"Óscar Vásquez",4,8872404,MEDIOCAMPISTA,1997-04-14,3204445555,DERECHA,176,AB-,Nueva EPS,"Luis Vásquez - 3204446666",Ninguna
"Roberto Suárez",5,8872405,DEFENSOR,2001-12-02,3205556666,IZQUIERDA,180,A-,Sura,"Carlos Suárez - 3205557777",Ninguna

EQUIPO,Estrella Braves
NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Mario Quintero",1,8872501,DELANTERO,2000-02-04,3301112222,DERECHA,172,O+,Sura,"Rosa Quintero - 3301113333",Ninguna
"Leonel Castro",2,8872502,ARQUERO,1998-08-21,3302223333,IZQUIERDA,186,A+,Compensar,"Jaime Castro - 3302224444",Ninguna
"Wilson Bayona",3,8872503,DEFENSOR,2001-05-09,3303334444,DERECHA,179,B+,Nueva EPS,"Marleny Bayona - 3303335555",Sulfas
"Jairo López",4,8872504,MEDIOCAMPISTA,1999-11-27,3304445555,IZQUIERDA,171,A-,Sura,"Esperanza López - 3304446666",Ninguna
"Andrés Morales",5,8872505,DELANTERO,2002-07-08,3305556666,DERECHA,167,O+,Compensar,"Héctor Morales - 3305557777",Ninguna

EQUIPO,Águilas Doradas
NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Francisco Sánchez",1,8872601,DEFENSOR,1999-04-12,3401112222,DERECHA,180,O+,Sura,"Carmen Sánchez - 3401113333",Ninguna
"Jorge López",2,8872602,DELANTERO,2001-10-09,3402223333,IZQUIERDA,171,A+,Nueva EPS,"Martha López - 3402224444",Ninguna
"Carlos Quintero",3,8872603,ARQUERO,2000-09-05,3403334444,DERECHA,188,AB-,Compensar,"Héctor Quintero - 3403335555",Ninguna
"Manuel Durán",4,8872604,MEDIOCAMPISTA,1998-03-18,3404445555,DERECHA,173,O-,Sura,"Luz Marina Durán - 3404446666",Ninguna
"Eduardo Castaño",5,8872605,DELANTERO,2002-08-21,3405556666,IZQUIERDA,169,A+,Compensar,"Marco Castaño - 3405557777",Ninguna

EQUIPO,Cloud 9 FC
NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Pedro Alejandro Núñez",1,8872701,DELANTERO,2000-05-25,3501112222,DERECHA,173,B+,Sura,"Lucía Núñez - 3501113333",Ninguna
"Sebastián Mesa",2,8872702,ARQUERO,1997-10-07,3502223333,IZQUIERDA,187,AB-,Compensar,"Isabel Mesa - 3502224444",Ninguna
"Ricardo Parra",3,8872703,DEFENSOR,2001-12-26,3503334444,DERECHA,179,O+,Nueva EPS,"Ernesto Parra - 3503335555",Ninguna
"Manuel Bayona",4,8872704,MEDIOCAMPISTA,1998-07-14,3504445555,AMBIDESTRO,170,A-,Sura,"Rosa Bayona - 3504446666",Ninguna
"César Medina",5,8872705,DELANTERO,2002-02-21,3505556666,DERECHA,170,O-,Compensar,"Cristina Medina - 3505557777",Ninguna
