NOMBRE,N° CAMISETA,DOCUMENTO,POSICION,FECHA NACIMIENTO,TELEFONO,PIERNA HABIL,ALTURA CM,TIPO SANGRE,EPS,CONTACTO EMERGENCIA,ALERGIAS
"Juan Pérez",1,12345678,DELANTERO,1999-01-15,3001234567,DERECHA,175,O+,Sura,"María Pérez - 3001112222",Ninguna
"Carlos López",2,12345679,DEFENSOR,1998-05-20,3102223333,IZQUIERDA,182,A+,Sanitas,"Ana López - 3109998888",Penicilina
"Andrés Gómez",3,12345680,ARQUERO,1997-11-30,3203334444,DERECHA,188,O-,Dupoint,"Roberto Gómez - 3201112222",Ninguna
"Mateo Ruiz",4,12345681,MEDIOCAMPISTA,2000-03-10,3154445555,AMBIDESTRO,170,B+,Nueva EPS,"Sofía Ruiz - 3159991111",Aspirina
"Luis Hernández",5,12345682,DELANTERO,2001-07-25,3115556666,DERECHA,168,AB+,Compensar,"Pedro Hernández - 3111113333",Ninguna
"Diego Martínez",6,12345683,DEFENSOR,1999-12-05,3016667777,IZQUIERDA,179,A-,Sanitas,"Carla Martínez - 3012224444",Látex
"Sebastián Torres",7,12345684,MEDIOCAMPISTA,2002-02-18,3027778888,DERECHA,173,O+,Dupoint,"Jorge Torres - 3021114444",Ninguna
"Felipe Ramírez",8,12345685,DEFENSOR,2000-10-08,3038889999,DERECHA,181,O-,Nueva EPS,"Lucía Ramírez - 3031115555",Ninguna
"Gabriel Díaz",9,12345686,DELANTERO,1998-09-12,3049991111,IZQUIERDA,176,B-,Sura,"Ricardo Díaz - 3041116666",Sulfas
"Emmanuel Muñoz",10,12345687,ARQUERO,1997-04-22,3051112222,AMBIDESTRO,185,AB-,Compensar,"Mario Muñoz - 3051117777",Ninguna
"Paula Sánchez",11,22345678,DEFENSOR,2000-08-14,3105554444,DERECHA,165,A+,Sanitas,"Laura Sánchez - 3108885555",Ninguna
"Valentina Gómez",12,22345679,DELANTERO,2001-06-03,3206665555,IZQUIERDA,169,O+,Dupoint,"Martha Gómez - 3202226666",Ácaros
"Juan Carlos Ortiz",13,32345678,MEDIOCAMPISTA,1999-01-01,3157776666,DERECHA,172,A-,Nueva EPS,"Fernando Ortiz - 3151118888",Ninguna
"Miguel Ángel Vega",14,42345678,DELANTERO,2002-11-15,3208887777,IZQUIERDA,178,B+,Sura,"Elena Vega - 3203338888",Ninguna
"Ricardo Durán",15,52345678,DEFENSOR,2000-05-30,3019992222,DERECHA,177,O-,Compensar,"José Durán - 3014441111",Penicilina
